feature,mean_abs_shap
cat__dns_query_www.gstatic.com,0.0
cat__dns_query_www.irongeek.com,0.0
cat__dns_query_www.itsecgames.com,0.0
cat__dns_query_www.kali.org,0.0
cat__dns_query_www.linkedin.com,0.0
cat__dns_query_www.mqtt-dashboard.com.hub,0.0
cat__dns_query_www.nethunter.com,0.0
cat__dns_query_ns1prod.11193.azuredns-prd.info,0.0
cat__dns_query_www.offensive-security.com,0.0
cat__ssl_subject_CN=*.wns.windows.com,0.0
cat__ssl_subject_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0.0
cat__ssl_subject_CN=settings-win.data.microsoft.com;OU=WSE;O=Microsoft;L=Redmond;ST=WA;C=US,0.0
cat__http_uri_/c/msdownload/update/others/2019/04/28698818_bfacd682bfb9bf10a7396fb5e080fa0a38d1b153.cab,0.0
cat__http_uri_/?C=M;O=D,0.0
cat__http_uri_/?C=N;O=A,0.0
cat__http_uri_/?C=S;O=A,0.0
cat__http_uri_/?C=S;O=D,0.0
cat__http_uri_/?id=3') UNION ALL SELECT NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL-- uzzZ,0.0
cat__http_uri_/?id=3');SELECT PG_SLEEP(5)--,0.0
cat__http_uri_/AVTransport_1.xml,0.0
cat__http_uri_/ConnectionManager_1.xml,0.0
cat__http_uri_/MFEwTzBNMEswSTAJBgUrDgMCGgUABBTBL0V27RVZ7LBduom/nYB45SPUEwQU5Z1ZMIJHWMys+ghUNoZ7OrUETfACEA8sEMlbBsCTf7jUSfg+hWk=,0.0
cat__http_uri_/RenderingControl_1.xml,0.0
cat__http_uri_/c/msdownload/update/others/2019/04/28698935_cba82db85983dbc8b69d1f5871c20aaaddd5cf1a.cab,0.0
cat__ssl_subject_CN=sls.update.microsoft.com;OU=DSP;O=Microsoft;L=Redmond;ST=WA;C=US,0.0
cat__http_uri_/c/msdownload/update/others/2019/04/28699347_4732b1ab470d51de66dee45e4114cb6174f55279.cab,0.0
cat__http_uri_/c/msdownload/update/others/2019/04/28699464_f160590bb263a9a1eec87a91553216013f276682.cab,0.0
cat__http_uri_/c/msdownload/update/others/2019/04/28700335_30bfc4d04ec3c1563df1800974a7c7248a8ef680.cab,0.0
cat__http_uri_/c/msdownload/update/others/2019/04/28700452_4cbc02e8e632e8e591c8cf02d8f72821c8171c8e.cab,0.0
cat__http_uri_/c/msdownload/update/software/secu/2019/02/windows10.0-kb4483452-x64_f58d9b9ff95e2b686c4bc7666dbc45aadd151b0c.cab,0.0
cat__http_uri_/c/msdownload/update/software/secu/2019/03/windows10.0-kb4489907-x64_81a7b15b9c65e416e071d15bb9334c7458d70011.cab,0.0
cat__http_uri_/connecttest.txt,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28699861_9488bae666d9f85a1316793f9e52a14994eae7e5.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28701422_19fc1c232bf7eb4d3ddd097afebcaa3a0479d76c.cab,0.0
cat__http_uri_/d/msdownload/update/others/2019/04/28702816_586ec5981a557b2f52707c80339980bbda1d24f6.cab,0.0
cat__http_uri_/?C=D;O=D,0.0
cat__http_uri_/?C=D;O=A,0.0
cat__http_uri_/37;51;99;37;55;51;37;54;51;37;55;50;37;54;57;37;55;48;37;55;52;37;50;48;37;55;51;37;55;50;37;54;51;37;51;100;37;51;49;37;50;48;37;54;56;37;55;50;37;54;53;37;54;54;37;51;100;37;51;49;37;50;48;37;54;102;37;54;101;37;54;53;37;55;50;37;55;50;37;54;102;37;55;50;37;51;100;37;50;50;37;54;97;37;54;49;37;55;54;37;54;49;37;55;51;37;54;51;37;55;50;37;54;57;37;55;48;37;55;52;37;51;97;37;51;53;37;51;48;37;51;57;37;51;55;37;51;57;37;51;57;37;51;48;37;51;50;37;54;52;37;54;53;37;51;55;37;54;50;37;51;48;37;51;54;37;51;51;37;54;49;37;51;56;37;51;55;37;54;51;37;51;51;37;51;53;37;51;54;37;51;48;37;51;50;37;51;51;37;54;52;37;51;57;37;54;53;37;51;56;37;51;54;37;54;50;37;54;52;37;50;50;37;51;101;37;51;99;37;50;102;37;55;51;37;54;51;37;55;50;37;54;57;37;55;48;37;55;52;37;51;101,0.0
cat__http_uri_/37;51;99;37;54;53;37;54;100;37;54;50;37;54;53;37;54;52;37;50;48;37;55;51;37;55;50;37;54;51;37;51;100;37;50;50;37;51;52;37;54;52;37;54;52;37;51;53;37;51;49;37;54;52;37;51;55;37;54;50;37;51;50;37;54;51;37;51;51;37;51;53;37;51;51;37;51;57;37;54;54;37;54;52;37;51;55;37;51;53;37;51;49;37;51;49;37;54;49;37;51;54;37;51;50;37;51;51;37;51;49;37;51;48;37;54;51;37;54;53;37;51;48;37;54;54;37;51;55;37;51;51;37;50;50;37;51;101,0.0
cat__ssl_issuer_-,0.0
